Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2000,2,32,A.J. Guyton,PG,6-1,180.0,22.0,Indiana,Sr,,4,CHI
2000,2,33,Jake Voskuhl,C,6-11,245.0,22.0,UConn,Sr,,9,CHI
2000,2,34,Khalid El-Amin,G,5-10,200.0,21.0,UConn,Jr  *,,3,CHI
1999,1,1,Elton Brand,PF,6-9,254.0,20.0,Duke,So  *,,17,CHI
1999,1,16,Metta World Peace,SF,6-7,260.0,19.0,St. John's,So  *,,17,CHI
1999,2,32,Michael Ruffin,F-C,6-9,245.0,22.0,Tulsa,Sr,,9,CHI
1999,2,49,Lari Ketner,F,6-9,277.0,22.0,Massachusetts,Sr,,2,CHI
1998,1,28,Corey Benjamin,SG,6-6,200.0,20.0,Oregon State,So  *,,6,CHI
1998,2,58,Maceo Baston,FC,6-11,230.0,22.0,Michigan,Sr,,5,CHI
1997,1,28,Keith Booth,F,6-6,226.0,22.0,Maryland,Sr,,2,CHI
1996,1,29,Travis Knight,C,7-0,235.0,21.0,UConn,Sr,,8,CHI
1995,1,20,Jason Caffey,PF,6-8,255.0,22.0,Alabama,Sr,,9,CHI
1995,2,31,Dragan Tarlac,C,6-11,270.0,22.0,Olympiacos (Greece),1973 DOB,,1,CHI
1994,1,21,Dickey Simpkins,PF,6-9,248.0,22.0,Providence,Sr,,8,CHI
1994,2,49,Kris Bruton,SF,6-7,218.0,23.0,Benedict College,Sr,,1,CHI
1993,1,25,Corie Blount,PF,6-9,240.0,24.0,Cincinnati,Sr,,11,CHI
1993,2,41,Anthony Reed,F,6-6,220.0,22.0,Tulane,Sr,,1,CHI
1992,1,27,Byron Houston,F,6-7,250.0,22.0,Oklahoma State,Sr,,5,CHI
1992,2,33,Corey Williams,G,6-2,190.0,22.0,Oklahoma State,Sr,,2,CHI
1992,2,52,Matt Steigenga,F,6-7,225.0,22.0,Michigan State,Sr,,3,CHI
1991,1,26,Mark Randall,PF,6-9,235.0,23.0,Kansas,Sr,,6,CHI
1990,2,29,Toni Kukoc,SF,6-11,235.0,21.0,KK Split (Croatia),1968 DOB,,13,CHI
1989,1,6,Stacey King,PF,6-11,250.0,22.0,Oklahoma,Sr,,10,CHI
1989,1,18,B.J. Armstrong,G,6-2,175.0,21.0,Iowa,Sr,,11,CHI
1989,1,20,Jeff Sanders,F,6-8,225.0,23.0,Georgia Southern,Sr,,5,CHI
1988,1,11,Will Perdue,C,7-0,240.0,22.0,Vanderbilt,Sr,,14,CHI
1988,3,62,Derrick Lewis,F,6-8,200.0,21.0,Maryland,Sr,,1,CHI
1987,1,10,Horace Grant,PF,6-10,255.0,21.0,Clemson,Sr,,17,CHI
1987,2,28,Rickie Winslow,F,6-8,225.0,22.0,Houston,Sr,,2,CHI
1987,2,33,Tony White,G,6-2,170.0,22.0,Tennessee,Sr,,1,CHI
1987,3,56,John Fox,F,6-9,,,Millersville University,Sr,,1,CHI
1987,4,79,Jack Haley,FC,6-10,240.0,23.0,UCLA,Sr,,11,CHI
1987,5,102,Anthony Wilson,G,,,,LSU,Sr,,1,CHI
1987,6,125,Doug Altenberger,G,6-1,179.0,,Illinois,Sr,,1,CHI
1987,7,148,Earvin Leavy,G,6-3,175.0,,Central Michigan,Sr,,1,CHI
1986,1,9,Brad Sellers,FC,7-0,210.0,23.0,Ohio State,Sr,,7,CHI
1986,3,52,Ricky Wilson,G,6-3,195.0,21.0,George Mason,Sr,,2,CHI
1986,4,74,Scott Meents,FC,6-10,225.0,22.0,Illinois,Sr,,6,CHI
1986,5,98,Jimmy Gilbert,C,6-9,,,Texas A&M,Sr,,0,CHI
1986,6,120,Pete Myers,GF,6-6,180.0,22.0,Little Rock,Sr,,9,CHI
1986,7,144,Robert Henderson,,,,,Michigan,Sr,,0,CHI
1985,2,34,Aubrey Sherrod,SG,6-4,195.0,22.0,Wichita State,Sr,,0,CHI
2025,2,55,Lachlan Olbrich,C,6-8,236.0,21.0,Illawarra (Australia),2003 DOB,LAL to  CHI,0,CHI
2023,2,35,Julian Phillips,F,6-6,198.0,19.0,Tennessee,Fr *,BOS to  WAS WAS  to CHI,2,CHI
2017,1,7,Lauri Markkanen,SF,7-1,240.0,20.0,Arizona,Fr *,MIN to  CHI,8,CHI
2014,1,11,Doug McDermott,F,6-7,225.0,22.0,Creighton,Sr,DEN to  CHI,11,CHI
2011,1,23,Nikola Mirotic,F,6-10,250.0,20.0,Real Madrid (Spain),1991 DOB *,HOU to  MIN MIN  to CHI,5,CHI
2011,2,51,Jon Diebler,SF,6-6,205.0,23.0,Ohio State,Sr,POR to  HOU HOU  to CHI,0,CHI
2008,2,36,Omer Asik,C,7-0,255.0,21.0,Fenerbahce Beko (Turkey),1986 DOB,POR to  CHI,9,CHI
2006,1,4,Tyrus Thomas,F,6-9,215.0,19.0,LSU,Fr *,POR to  CHI,8,CHI
2006,1,13,Thabo Sefolosha,GF,6-7,220.0,22.0,Edilnol Pallacanestro Biella (Italy),1984 DOB,PHL to  CHI,14,CHI
2004,1,7,Luol Deng,GF,6-9,220.0,19.0,Duke,Fr *,PHX to  CHI,15,CHI
2004,2,39,Albert Miralles,FC,6-10,238.0,22.0,Roseto Sharks (Italy),1982 DOB,TOR to  MIA MIA  to BOS BOS  to MIL MIL  to CLE CLE  to CHI,0,CHI
2001,1,2,Tyson Chandler,C,7-1,240.0,18.0,Dominguez High School (California),1982 DOB *,LAC to  CHI,19,CHI
2000,1,8,Jamal Crawford,SG,6-5,195.0,20.0,Michigan,Fr *,CLE to  CHI,19,CHI
1998,2,49,Corry Carr,G,6-3,212.0,22.0,Texas Tech,Sr,ATL to  CHI,2,CHI
1987,1,5,Scottie Pippen,SF,6-8,228.0,21.0,Central Arkansas,Sr,SEA to  CHI,18,CHI
1985,1,9,Charles Oakley,PF,6-8,225.0,21.0,Virginia Union,Sr,CLE to  CHI,18,CHI
1985,2,25,Mike Smrek,C,7-0,250.0,22.0,Canisius,Sr,POR to  CHI,8,CHI
1985,2,30,Calvin Duncan,G,6-4,195.0,24.0,VCU,Sr,CLE to  CHI,1,CHI
1983,1,13,Ennis Whatley,SG,6-3,177.0,20.0,Alabama,So *,KCK to  CHI,11,CHI
1983,1,23,Mitchell Wiggins,G,6-4,185.0,23.0,Florida State,Sr,IND to  CHI,6,CHI
1983,2,38,Chris McNealy,F,6-7,210.0,21.0,San Jose State,Sr,KCK to  CHI,4,CHI
1981,2,36,Ray Blume,SG,6-4,185.0,22.0,Oregon State,Sr,IND to  CHI,1,CHI
1980,1,10,Ronnie Lester,G,6-2,175.0,21.0,Iowa,Sr,POR to  CHI,6,CHI
1980,2,38,Terry Stotts,PF,6-8,220.0,22.0,Oklahoma,Sr,HOU to  CHI,1,CHI
1978,10,190,Rickey Williams,SG,6-1,175.0,21.0,Long Beach State,Jr,NOJ to  CHI,2,CHI
