Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2015,2,47,Arturas Gudaitis,C,6-10,254.0,22.0,Zalgiris (Lithuania),1993 DOB,PHL to  SAC SAC  to CLE,0,CLE
2014,2,45,Dwight Powell,PF,6-10,240.0,22.0,Stanford,Sr,CHA to  CLE,11,CLE
2012,1,17,Tyler Zeller,C,7-0,250.0,22.0,North Carolina,Sr,DAL to  CLE,8,CLE
2011,2,56,Chu Maduabum,PF,6-9,210.0,20.0,Bakersfield Jam,1991 DOB,LAL to  DEN DEN  to PHL PHL  to CLE,0,CLE
2009,2,49,Sergii Gladyr,G,6-5,190.0,20.0,MBC Mykolaiv (Ukraine),1988 DOB *,ATL to  CLE,0,CLE
2008,2,52,Darnell Jackson,F,6-8,241.0,22.0,Kansas,Sr,MIA to  CLE,3,CLE
2008,2,56,Sasha Kaun,C,6-11,250.0,23.0,Kansas,Sr,SEA to  CLE,1,CLE
2007,2,50,Renaldas Seibutis,SG,6-5,176.0,21.0,Maroussi BC (Greece),1985 DOB,DAL to  LAC LAC  to CLE,0,CLE
2006,2,56,Edin Bavcic,C,6-8,242.0,22.0,KK Bosna (Bosnia and Herzegovina),1984 DOB,TOR to  PHL PHL  to NOP NOP  to BRK BRK  to CLE,0,CLE
2005,2,44,Martynas Andriuskevicius,C,7-2,240.0,19.0,Zalgiris (Lithuania),1986 DOB *,ORL to  CLE,2,CLE
2004,2,30,Anderson Varejao,C,6-10,273.0,21.0,Barca (Spain),1982 DOB,ORL to  CLE,14,CLE
2002,2,45,Matt Barnes,GF,6-7,226.0,22.0,UCLA,Sr,MEM to  CLE,15,CLE
2000,1,7,Chris Mihm,C,7-0,265.0,20.0,Texas,Jr *,CHI to  CLE,9,CLE
1991,2,47,Keith Hughes,PF,6-8,235.0,22.0,Rutgers,Sr,HOU to  CLE,1,CLE
1990,2,50,Milos Babic,C,7-0,240.0,21.0,Tennessee Tech,Sr,PHX to  CLE,2,CLE
1989,1,2,Danny Ferry,PF,6-10,230.0,22.0,Duke,Sr,LAC to  CLE,14,CLE
1986,2,25,Mark Price,PG,6-0,170.0,22.0,Georgia Tech,Sr,DAL to  CLE,12,CLE
1985,1,11,Keith Lee,FC,6-10,215.0,22.0,Memphis,Sr,CHI to  CLE,4,CLE
1984,1,6,Mel Turpin,C,6-11,240.0,23.0,Kentucky,Sr,WAS to  CLE,5,CLE
1980,3,61,Rich Yonakor,PF,6-9,220.0,21.0,North Carolina,Sr,SAN to  CLE,2,CLE
1973,2,31,Jim Chones,FC,6-11,220.0,23.0,Marquette,Sr,LAL to  CLE,8,CLE
1972,3,45,Chuck Jura,C,6-10,220.0,,Nebraska,Sr,CHI to  CLE,0,CLE
