Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
2006,1,27,Sergio Rodriguez,PG,6-3,176.0,20.0,Movistar Estudiantes (Spain),1986 DOB *,PHX to  POR,5,POR
2005,1,22,Jarrett Jack,G,6-3,200.0,21.0,Georgia Tech,Jr *,DEN to  POR,13,POR
2004,1,22,Viktor Khryapa,PF,6-7,220.0,21.0,CSKA Moscow (Russia),1982 DOB,NJN to  POR,4,POR
1999,2,52,Roberto Bergersen,G,6-6,210.0,23.0,Boise State,Sr,ATL to  POR,3,POR
1998,1,11,Bonzi Wells,G-F,6-5,210.0,21.0,Ball State,Sr,DET to  POR,10,POR
1997,1,15,Kelvin Cato,C,6-11,255.0,22.0,Iowa State,Sr,DAL to  POR,10,POR
1997,2,52,C.J. Bruton,G,6-2,195.0,21.0,Indian Hills,So *,VAN to  POR,1,POR
1996,2,36,Doron Sheffer,G,6-5,200.0,24.0,UConn,Sr,LAC to  POR,0,POR
1996,2,41,Jason Sasser,F,6-7,225.0,22.0,Texas Tech,Sr,SAC to  POR,6,POR
1995,1,11,Gary Trent,PF,6-8,250.0,20.0,Ohio,Jr *,MIL to  POR,10,POR
1995,1,19,Randolph Childress,SG,6-2,188.0,22.0,Wake Forest,Sr,DET to  POR,2,POR
1993,2,50,Marcelo Nicola,F,6-10,225.0,22.0,Baskonia (Spain),1971 DOB,HOU to  POR,0,POR
1992,1,18,Tracy Murray,F,6-7,225.0,20.0,UCLA,Jr *,MIL to  SAN SAN  to POR,13,POR
1991,2,43,Lamont Strothers,G,6-4,190.0,23.0,Christopher Newport,Sr,GOS to  POR,2,POR
1985,2,28,Ken Johnson,F,6-8,240.0,22.0,Michigan State,Sr,CHI to  POR,1,POR
1984,2,37,Ben Coleman,F,6-9,235.0,22.0,Maryland,Sr,CHI to  POR,7,POR
1980,1,4,Kelvin Ransey,G,6-1,170.0,22.0,Ohio State,Sr,CHI to  POR,6,POR
1974,7,115,Greg Lee,SG,6-3,190.0,22.0,UCLA,Sr,ATL to  POR,1,POR
