Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1988,3,52,Derrick Hamilton,F,6-7,225.0,22.0,Southern Mississippi,Sr,,1,BKN
1987,1,3,Dennis Hopson,GF,6-5,200.0,22.0,Ohio State,Sr,,5,BKN
1987,3,48,Jamie Waller,G,6-4,215.0,22.0,Virginia Union,Sr,,2,BKN
1987,4,72,Andrew Moten,PG,6-0,175.0,,Florida,Sr,,0,BKN
1987,5,94,James Blackmon,G,6-3,180.0,22.0,Kentucky,Sr,,0,BKN
1987,6,118,Perry Bromwell,PG,6-2,,,Pennsylvania,Sr,,0,BKN
1987,7,140,Frank Booker,,,,,Bowling Green,Sr,,0,BKN
1986,1,13,Pearl Washington,G,6-2,190.0,22.0,Syracuse,Jr  *,,3,BKN
1986,4,81,Steve Hale,SG,6-4,180.0,,North Carolina,Sr,,0,BKN
1986,5,105,Archie Johnson,,,,,UAB,Sr,,0,BKN
1986,6,127,Troy Webster,,,,,George Washington,Sr,,0,BKN
1986,7,151,Jim Dolan,F,6-3,,,Notre Dame,Sr,,0,BKN
1985,2,36,Yvon Joseph,C,6-11,245.0,27.0,Georgia Tech,Sr,,0,BKN
1985,2,38,Fernando Martin,C,6-9,220.0,23.0,Real Madrid (Spain),1962 DOB,,2,BKN
1985,3,62,Nigel Miguel,GF,6-5,195.0,22.0,UCLA,Sr,,0,BKN
1985,5,108,Kelly Blaine,,,,,South Alabama,Sr,,0,BKN
1985,6,130,George Almones,G,6-3,188.0,,Louisiana,Jr  *,,1,BKN
1985,7,154,Gary McLain,PG,,,,Villanova,Sr,,0,BKN
1984,1,17,Jeff Turner,FC,6-9,230.0,22.0,Vanderbilt,Sr,,12,BKN
1984,3,63,Yommy Sangodeyi,PF,6-9,230.0,17.0,Sam Houston State,Jr  *,,1,BKN
1984,4,85,Hank Cornley,SF,6-7,205.0,,Illinois State,Sr,,1,BKN
1984,5,109,Michael Gerren,,,,,South Alabama,Sr,,0,BKN
1984,6,131,Oscar Schmidt,PF,6-9,236.0,26.0,,1958 DOB,,0,BKN
1984,7,155,Sean Kerins,FC,6-8,225.0,,Syracuse,Sr,,1,BKN
1984,8,177,Chris Winans,C,,,,Utah,Sr,,0,BKN
1984,9,200,Billy Ryan,G,,,,Princeton,Sr,,0,BKN
1984,10,221,Phil Jamison,,,,,Saint Peter's,Sr,,0,BKN
1983,2,44,Horace Owens,SG,6-3,190.0,21.0,Rhode Island,Sr,,1,BKN
1983,3,59,Bruce Kuczenski,PF,6-10,230.0,22.0,UConn,Sr,,2,BKN
2025,1,22,Drake Powell,F,6-5,195.0,19.0,North Carolina,Fr *,ATL to  BRK,0,BKN
2021,1,29,Day'Ron Sharpe,PF,6-10,265.0,19.0,North Carolina,Fr *,PHX to  BRK,4,BKN
2020,2,57,Reggie Perry,F,6-8,250.0,20.0,Mississippi State,So *,LAC to  BRK,2,BKN
2019,2,60,Vanja Marinkovic,G,6-6,194.0,22.0,KK Partizan (Serbia),1997 DOB,SAC to  LAC LAC  to MEM MEM  to BRK,0,BKN
2016,1,20,Caris LeVert,G,6-7,205.0,21.0,Michigan,Sr,IND to  BRK,9,BKN
2016,2,39,David Michineau,PG,6-4,180.0,22.0,Chalon-Sur-Saone (France),1994 DOB,NOP to  LAC LAC  to SAC SAC  to BRK,0,BKN
2016,2,42,Isaiah Whitehead,SG,6-4,213.0,21.0,Seton Hall,So *,UTH to  BRK,3,BKN
