Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct
1980,1,1,Joe Barry Carroll,FC,7-0,225.0,21.0,Purdue,Sr,,10,76353.0,US,1990,0.0
1980,1,13,Rickey Brown,FC,6-10,215.0,21.0,Mississippi State,Sr,,5,76283.0,US,1984,0.0
1980,2,24,Larry Smith,PF,6-8,215.0,22.0,Alcorn State,Sr,,13,78195.0,US,1992,0.0
1980,3,49,John Virgil,SG,6-5,185.0,22.0,North Carolina,Sr,,0,,,,
1980,4,71,Robert Scott,PG,6-1,170.0,22.0,Alabama,Sr,,0,,,,
1980,5,95,Don Carlino,,,,,USC,Sr,,0,,,,
1980,6,117,Neil Bresnahan,F,,,,Illinois,Sr,,0,,,,
1980,7,141,Lorenzo Romar,G,6-1,175.0,21.0,Washington,Sr,,6,78015.0,US,1984,0.0
1980,8,162,Kurt Kanaskie,,,,22.0,La Salle,Sr,,0,,,,
1980,9,182,Billy Reid,SG,6-5,190.0,22.0,San Francisco,Jr,,1,77937.0,US,1980,0.0
1980,10,200,Tim Higgins,F,6-5,,,Nebraska-Kearney,Sr,,0,,,,
1979,2,28,Danny Salisbury,SF,6-6,202.0,22.0,Texas-RGV,Sr,,1,,,,
1979,3,54,Cheese Johnson,SF,6-6,195.0,21.0,Wichita State,Sr,,1,77159.0,US,1979,0.0
1979,4,75,Ron Ripley,C,6-10,215.0,,Green Bay,Sr,,0,,,,
1979,4,82,Jerry Sichting,G,6-1,168.0,22.0,Purdue,Sr,,11,78146.0,US,1989,0.0
1979,5,96,George Lett,,,,,Centenary (LA),Sr,,0,,,,
1979,6,118,Jim Mitchem,,,,,DePaul,Sr,,0,,,,
1979,7,137,Ren Watson,,,,,VCU,Sr,,0,,,,
1979,8,155,Mario Butler,C,6-8,275.0,22.0,Briar Cliff,Sr,,0,,,,
1979,9,175,Gene Ransom,PG,5-8,,,California,Sr,,0,,,,
1979,10,192,Kevin Heenan,,,,,Cal State Fullerton,Sr,,0,,,,
1978,1,5,Purvis Short,SF,6-7,210.0,20.0,Jackson State,Sr,,12,78139.0,US,1989,0.0
1978,1,22,Raymond Townsend,SG,6-3,175.0,22.0,UCLA,Sr,,3,78365.0,US,1981,0.0
