Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct
1981,2,33,Sam Williams,F,6-8,210.0,22.0,Arizona State,Jr,,0,78569.0,US,1984,0.0
1981,3,56,Carlton Neverson,SG,6-5,195.0,23.0,Pittsburgh,Sr,,0,,,,
1981,4,76,Lewis Lloyd,GF,6-6,205.0,22.0,Drake,Sr,,7,77395.0,US,1989,0.0
1981,4,80,Terry Adolph,PG,5-8,165.0,,West Texas A&M,Sr,,0,,,,
1981,5,102,Hank McDowell,FC,6-9,215.0,21.0,Memphis,Sr,,7,77527.0,US,1986,0.0
1981,6,126,Carter Scott,G,,,,Ohio State,Sr,,0,,,,
1981,7,148,Robby Dosty,,,,,Arizona,Sr,,0,,,,
1981,8,171,Yasutaka Okayama,C,7-7,,26.0,,1954 DOB,,0,,,,
1981,9,192,Doug Murrey,,,,,San Jose State,Sr,,0,,,,
1981,10,213,Barry Brooks,,,,,USC,Sr,,0,,,,
