Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1988,3,72,Lee Johnson,PF,6-9,206.0,,Norfolk State,Sr,,0,DET
1987,2,24,Freddie Banks,G,6-2,185.0,22.0,UNLV,Sr,,0,DET
1987,3,65,Eric White,F,6-8,200.0,21.0,Pepperdine,Sr,,2,DET
1987,4,88,Dave Popson,FC,6-10,220.0,23.0,North Carolina,Sr,,4,DET
1987,4,89,David Johnson,F,6-7,265.0,22.0,Oklahoma,Sr,,0,DET
1987,5,111,Gerry Wright,,,,,Iowa,Sr,,0,DET
1987,6,134,Antoine Joubert,G,6-5,190.0,,Michigan,Sr,,0,DET
1987,7,157,Mark Gottfried,SG,,,23.0,Alabama,Sr,,0,DET
1986,1,11,John Salley,C,6-11,230.0,22.0,Georgia Tech,Sr,,11,DET
1986,2,27,Dennis Rodman,PF,6-7,210.0,25.0,Southeastern Oklahoma State,Sr,,14,DET
1986,4,86,Chauncey Robinson,SG,6-4,,,Mississippi State,Sr,,0,DET
1986,5,109,Clarence Hanley,C,6-10,,,Old Dominion,Sr,,0,DET
1986,6,132,Greg Grant,F,6-7,,,Utah State,Sr,,0,DET
1986,7,155,Larry Polec,F,6-8,,,Michigan State,Sr,,0,DET
1985,1,18,Joe Dumars,SG,6-3,190.0,22.0,McNeese State,Sr,,14,DET
1985,3,60,Andre Goode,PF,6-10,225.0,,Northwestern,Sr,,1,DET
1985,3,64,Richie Johnson,PF,6-9,225.0,,Evansville,Sr,,0,DET
1985,4,87,Spud Webb,G,5-6,133.0,21.0,NC State,Sr,,12,DET
1985,5,110,Mike Lahm,,,,,Murray State,Sr,,0,DET
1985,6,133,Vincent Giles,,,,,Eastern Michigan,Sr,,0,DET
1985,7,156,Frank James,,,,,UNLV,Sr,,0,DET
1984,1,20,Tony Campbell,GF,6-7,215.0,22.0,Ohio State,Sr,,11,DET
1984,2,32,Eric Turner,G,6-3,175.0,21.0,Michigan,Jr  *,,2,DET
1984,3,66,Kevin Springman,PF,6-10,240.0,22.0,Saint Joseph's,Sr,,2,DET
1984,4,89,Phillip Smith,PG,5-10,,,New Mexico,Sr,,0,DET
1984,5,112,Rick Doyle,,,,,Texas-San Antonio,Sr,,0,DET
2024,2,37,Bobi Klintman,F,6-9,225.0,21.0,Cairns (Australia),2003 DOB *,MIN to  DET,1,DET
2023,1,25,Marcus Sasser,G,6-1,195.0,22.0,Houston,Sr *,MEM to  BOS BOS  to DET,2,DET
2022,1,13,Jalen Duren,PF,6-10,250.0,18.0,Memphis,Fr *,CHA to  NYK NYK  to DET,3,DET
2020,1,16,Isaiah Stewart II,C,6-8,250.0,19.0,Washington,Fr *,POR to  HOU HOU  to DET,5,DET
2020,1,19,Saddiq Bey,F,6-8,215.0,21.0,Villanova,So *,BRK to  DET,5,DET
2020,2,38,Saben Lee,G,6-2,183.0,21.0,Vanderbilt,Jr *,UTH to  DET,4,DET
2019,2,37,Deividas Sirvydis,GF,6-8,190.0,19.0,Lietuvos Rytas II (Lithuania),2000 DOB *,DAL to  DET,2,DET
2019,2,56,Jaylen Hands,G,6-3,180.0,20.0,UCLA,So *,LAC to  BRK BRK  to DET,0,DET
2019,2,57,Jordan Bone,SG,6-2,180.0,21.0,Tennessee,Jr *,NOP to  ATL ATL  to PHL PHL  to DET,2,DET
2018,2,38,Khyri Thomas,SG,6-3,210.0,22.0,Creighton,Jr *,PHL to  DET,3,DET
2008,2,32,Walter Sharpe,F,6-9,245.0,21.0,UAB,Jr *,SEA to  DET,1,DET
2008,2,46,Trent Plaisted,C,6-11,245.0,21.0,Brigham Young,Jr *,SEA to  DET,0,DET
2006,2,51,Cheickh Samb,C,7-1,245.0,21.0,CB Cornella (Spain),1984 DOB,LAL to  DET,2,DET
1996,2,47,Ron Riley,SG,6-5,205.0,22.0,Arizona State,Sr,SEA to  DET,2,DET
1994,1,22,Bill Curley,F,6-9,220.0,22.0,Boston College,Sr,SAN to  DET,8,DET
1994,2,54,Zeljko Rebraca,C,7-0,265.0,22.0,KK Partizan (Serbia),1972 DOB,SEA to  MIN MIN  to TOR TOR  to DET,6,DET
1992,2,37,Isaiah Morris,F,6-8,228.0,23.0,Arkansas,Sr,MIA to  DET,2,DET
1964,2,15,Bill Chmielewski,C,6-9,240.0,22.0,Dayton,Sr,CIN to  DET,0,DET
1958,5,36,Don Ohl,SG,6-3,190.0,22.0,Illinois,Sr,PHI to  DET,10,DET
1955,2,9,Corky Devlin,F,6-5,200.0,23.0,George Washington,Sr,PHI to  FWP,3,DET
1954,4,30,Chuck Noble,SG,6-4,200.0,22.0,Louisville,Sr,PHI to  FWP,7,DET
1950,1,1,Charlie Share,C,6-11,235.0,23.0,Bowling Green,Sr,BOS to  FWP,9,DET
