Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,Team
1984,2,30,Steve Burtt,G,6-2,185.0,21.0,Iona,Sr,,5,GSW
1984,2,31,Jay Murphy,FC,6-9,220.0,21.0,Boston College,Sr,GOS to  LAC,4,GSW
1984,2,35,Othell Wilson,G,6-0,190.0,22.0,Virginia,Sr,,3,GSW
1984,2,45,Gary Plummer,FC,6-9,215.0,22.0,Boston University,Sr,,4,GSW
1984,3,55,Lewis Jackson,SG,6-6,200.0,21.0,Alabama State,Sr,,1,GSW
1984,5,101,Steve Bartek,,,,,Doane College,Sr,,0,GSW
1984,5,110,Scott McCollum,,,,,Pepperdine,Sr,,0,GSW
2025,2,52,Alex Toohey,F,6-8,223.0,21.0,Sydney (Australia),2004 DOB *,PHX to  GOS,0,GSW
2025,2,56,Will Richard,F,6-3,206.0,22.0,Florida,Sr,MEM to  GOS,0,GSW
2023,2,57,Trayce Jackson-Davis,F,6-9,245.0,23.0,Indiana,Sr *,WAS to  GOS,2,GSW
2022,2,44,Ryan Rollins,G,6-3,180.0,19.0,Toledo,So *,ATL to  GOS,3,GSW
2019,2,39,Alen Smailagic,PF,6-10,215.0,18.0,Santa Cruz Warriors,2000 DOB,NOP to  GOS,2,GSW
2017,2,38,Jordan Bell,PF,6-7,216.0,22.0,Oregon,Jr *,CHI to  GOS,5,GSW
2016,2,38,Patrick McCaw,G,6-7,181.0,20.0,UNLV,So *,MIL to  GOS,5,GSW
2015,2,55,Cady Lalanne,FC,6-9,242.0,23.0,Massachusetts,Sr,SAN to  GOS,0,GSW
2013,1,30,Nemanja Nedovic,SG,6-3,192.0,22.0,Lietuvos Rytas (Lithuania),1991 DOB,PHX to  GOS,2,GSW
2011,2,39,Jeremy Tyler,PF,6-10,260.0,20.0,Tokyo Apache (Japan),1991 DOB,CHA to  GOS,3,GSW
2007,1,8,Brandan Wright,F,6-10,210.0,19.0,North Carolina,Fr *,CHA to  GOS,11,GSW
2006,2,44,Lior Eliyahu,PF,6-7,225.0,20.0,Hapoel Galil Gilboa (Israel),1985 DOB *,ORL to  HOU HOU  to MIN MIN  to GOS,0,GSW
2004,2,55,Luis Flores,G,6-2,205.0,23.0,Manhattan,Sr,HOU to  DAL DAL  to GOS,1,GSW
