Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
1957,2,11,Harvey Schmidt,F,6-6,195.0,,Illinois,Sr,,0
1957,3,19,Jim Spivey,F,6-5,210.0,22.0,Southeastern Oklahoma State,Sr,,0
1957,4,27,George Brown,F,6-6,190.0,21.0,Wayne State (MI),Sr,,1
1957,5,35,Gary Thompson,G,5-10,,,Iowa State,Sr,,0
1957,6,43,Phil Murrell,F,6-4,205.0,24.0,Drake,Sr,,0
1957,7,51,George Ferguson,,,,,Michigan,Sr,,0
1957,8,58,John Haaven,,,,,North Dakota,Sr,,0
1957,9,65,Jim Sutton,,,,,North Dakota State,Sr,,0
1957,10,71,Gordon Fosness,,,,,Dakota Wesleyan,Sr,,0
1956,1,3,"Jim Paxson, Sr.",GF,6-6,200.0,23.0,Dayton,RS-Jr,,2
1956,2,10,Terry Rand,C,6-9,210.0,21.0,Marquette,Sr,,0
1956,3,18,Jerry Bird,F,6-6,200.0,21.0,Kentucky,Sr,MIN to NYK,1
1956,4,26,Lloyd Aubrey,F,6-5,205.0,,Notre Dame,Sr,,0
1956,5,34,Bill Reigel,G,6-3,,,McNeese State,Jr,,0
1956,6,42,Phil Jordon,C,6-10,205.0,22.0,Whitworth University,Sr,,7
1956,7,50,John Barber,F,6-6,210.0,28.0,Cal State Los Angeles,Sr,,1
1956,8,58,Sam Jones,GF,6-4,198.0,22.0,North Carolina Central,Sr,,12
1956,9,65,Jim Springer,PF,6-9,235.0,,Gustavus Adolphus,Sr,,0
1956,10,72,Phil Grawmeyer,F,6-7,180.0,,Kentucky,Sr,,0
1956,11,78,Robert Hodgson,,,,,Wichita State,Sr,,0
1956,12,82,Carl Widseth,,,,,Tennessee,Sr,,0
1956,13,86,John Patzwald,G,5-9,,,Gustavus Adolphus,Sr,,0
1955,2,12,Chuck Mencel,G,5-11,170.0,21.0,Minnesota,Sr,,2
1955,3,20,Dick Boushka,F,6-5,195.0,,Saint Louis,Sr,,0
1955,4,28,John Miller,G,6-4,190.0,,Ohio State,Sr,,0
1955,5,36,Bill Banks,,,,,Texas State,Sr,,0
1955,6,44,O'Neal Weaver,,,,,Midwestern State,Jr,,0
1955,7,52,Don Bragg,G,,,,UCLA,Sr,,0
1955,8,60,Don Boldebuck,,,,,Houston,Jr,,0
1955,9,68,Bill Warden,,,,,North Central College (IL),Sr,,0
1955,10,76,Jim Scott,,,,,West Texas A&M,Sr,,0
1955,11,83,K.C. Jones,G,6-1,200.0,22.0,San Francisco,Jr,,9
1954,1,9,Ed Kalafat,F,6-6,245.0,21.0,Minnesota,Sr,,3
1954,2,18,Al Bianchi,G,6-3,185.0,22.0,Bowling Green,Sr,,10
1954,3,27,Don Lance,G,6-3,180.0,,Rice,Sr,,0
1954,4,36,Gene Schwinger,F,6-6,215.0,,Rice,Sr,,0
1954,5,45,Buzz Bennett,,,,,Minnesota,Sr,,0
1954,6,54,Nick Revon,,,,,Southern Mississippi,Sr,,0
1954,7,63,Dan Finch,,,,,Vanderbilt,Sr,,0
1954,8,72,Bob Hopkins,,,,,Pasadena,Sr,,0
1954,9,80,Dick Garmaker,GF,6-3,200.0,21.0,Minnesota,Jr,,6
1954,10,89,John Blever,,,,,Northwestern,Sr,,0
1953,1,7,Jim Fritsche,FC,6-8,210.0,21.0,Hamline,Sr,,2
1953,2,16,Ron Feiereisel,G,6-3,185.0,21.0,DePaul,Sr,,1
1953,3,25,Hartly Kruger,,,,,Idaho,Sr,,0
1953,4,34,Ken Flowers,,,,,USC,Sr,,0
1953,5,43,Zippy Morocco,,,,,Georgia,Sr,,0
1953,6,52,Pete Silas,,,,,Georgia Tech,Sr,,0
1953,7,61,Lloyd Olmstead,,,,,Cornell College,Sr,,0
1953,8,70,Joe Richey,F,6-1,178.0,,Brigham Young,Sr,,0
1953,9,79,Hank Budde,,,,,Xavier,Sr,,0
1953,10,87,Walt Kearns,,,,,Arkansas,Sr,,0
1953,11,94,Bill Chambers,GF,6-4,180.0,22.0,William & Mary,Sr,,0
