Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
1971,10,167,Andy Toth,G,6-3,,,Cheyney (PA),Sr,,0
1971,11,181,Ken Davis,G,5-11,181.0,,Georgetown College (KY),Sr,,0
1971,12,194,Carl Greenfield,,,,,Eastern Kentucky,Sr,,0
1971,13,206,Larry Duckworth,,,,,Henderson State,Jr,,0
1971,14,215,Jack O'Connor,,,,,Providence (MT),Sr,,0
1970,1,17,Mike Price,SG,6-3,200.0,21.0,Illinois,Sr,,3
1970,2,34,Howie Wright,G,6-3,185.0,23.0,Austin Peay,Sr,,0
1970,3,51,Al Williams,F,6-6,195.0,22.0,Drake,Sr,,0
1970,4,68,John Marren,F,6-8,,21.0,Manhattan,Sr,,0
1970,5,85,Jim Oxley,,,,,Army West Point,Sr,,0
1970,6,102,Jim Signorile,C,6-8,,,NYU,Sr,,0
1970,7,119,Roy Hodge,,,,,Wagner,Sr,,1
1970,8,136,Greg Fillmore,C,7-1,240.0,23.0,Cheyney (PA),Sr,,2
1970,9,153,Walker Banks,C,6-10,205.0,22.0,Western Kentucky,Sr,,0
1970,10,170,Don Curnutt,,,,,Miami (FL),Sr,,0
1969,1,11,John Warren,G,6-3,180.0,21.0,St. John's,Sr,,5
1969,2,26,Bill Bunting,PF,6-8,200.0,21.0,North Carolina,Sr,,0
1969,3,40,Eddie Mast,PF,6-9,220.0,20.0,Temple,Sr,,3
1969,4,54,Elnardo Webster,F,6-5,190.0,21.0,Saint Peter's,Sr,,0
1969,5,68,Gene Littles,,,,25.0,High Point,Sr,,0
1969,6,82,Dwight Durante,G,5-8,,,Catawba,Sr,,0
1969,7,96,Chris Thomforde,,,,,Princeton,Sr,,1
1969,8,110,Jim Healey,,,,,Rockhurst,Sr,,0
1969,9,124,Roger Walaszak,,,,,Columbia,Sr,,0
1969,10,138,Frank McLaughlin,,,,,Fordham,Sr,,0
1969,11,152,Marvin Lewis,,,,,Stony Brook,Sr,,0
1969,12,165,Bill O'Rourke,,,,,St. John Fisher,Sr,,0
1969,13,177,James Wyatt,,,,,Northwestern,Sr,,0
1969,14,186,Rich Travis,,,,,Oklahoma City,Sr,,0
1968,1,10,Bill Hosket,PF,6-8,225.0,21.0,Ohio State,Sr,,4
