Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
1974,6,99,Gary Link,,,,,Missouri,Sr,,0
1974,7,117,Tommy Curtis,PG,5-11,170.0,,UCLA,Sr,,0
1974,8,135,Glenn Price,,,,,St. Bonaventure,Sr,,1
1974,9,153,John Falconi,,,,,Davidson,Sr,,0
1974,10,170,Andy Rimol,,,,,Princeton,Sr,,0
1973,1,3,Ernie DiGregorio,PG,6-0,180.0,22.0,Providence,Sr,,6
1973,3,38,Kenny Charles,SG,6-3,180.0,21.0,Fordham,Sr,,5
1973,4,54,Doug Little,G,6-4,200.0,,Oregon,Sr,,0
1973,5,72,Randy Noll,PF,6-8,210.0,,Marshall,Jr,,0
1973,6,88,Mike Macaluso,SF,6-5,210.0,21.0,Canisius,Sr,,1
1973,7,106,Tim Bassett,FC,6-8,225.0,22.0,Georgia,Sr,,4
1973,8,122,Carl Jackson,,,,,St. Bonaventure,Sr,,0
1973,9,140,Bob Fullerton,,,,,Xavier,Sr,,0
1973,10,153,Nick Connor,FC,6-6,194.0,,Illinois,Sr,,0
1973,11,168,Mike Lee,,,,,Syracuse,Sr,,0
1973,12,176,Aaron Covington,,,,,Canisius,Sr,,0
1973,13,184,Bob Vartanian,,,,,Buffalo,Sr,,0
1973,14,190,Ron Gilliam,,,,,SUNY Brockport,Sr,,0
1973,15,195,John Fraley,F,,,,Georgia,Sr,,0
1973,16,200,John Green,,,,,Oregon,Sr,,0
1973,17,204,Jim Garvin,F,6-7,200.0,23.0,Boston University,Sr,,1
1973,18,207,Don Johnston,PF,6-8,,22.0,North Carolina,Sr,,0
1973,19,209,Ron Thornson,,,,,British Columbia,Sr,,0
1973,20,211,Phil Tollestrop,F,6-6,220.0,,Brigham Young,Sr,,0
1972,1,2,Bob McAdoo,FC,6-9,210.0,20.0,North Carolina,Jr,,14
1972,2,15,Harold Fox,PG,6-2,175.0,22.0,Jacksonville,Sr,,1
